5595,Baizhu,16,15,18,75
9293,Beidou,17,16,15,70
7900,Chongyun,14,15,14,60
0000,Gaming,13,14,13,62
2200,Ganyu,16,16,15,70
6797,Hu Tao,15,15,15,50
2896,Keqing,12,10,13,55
6696,Ningguang,17,19,18,85
3301,Qiqi,11,11,11,11
0397,Shenhe,19,18,17,80
6199,Xianyun,18,17,18,88
2197,Xiangling,18,17,17,80
7400,Xiao,20,20,19,85
9997,Xingqiu,20,20,20,100
8099,Xinyan,11,13,14,50
8199,Yanfei,14,14,12,45
1302,Yaoyao,15,16,14,60
0700,Yelan,18,19,20,90
1597,Yun Jin,19,18,17,80
0200,Zhongli,16,15,14,55
